x+y	0 (IEEE-754 round-to-nearest-even) # http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#mathematical-functions-appendix
x*y	0 (IEEE-754 round-to-nearest-even)
x/y	0 for compute capability ≥ 2 when compiled with -prec-div=true, 2 (full range), otherwise
1/x	0 for compute capability ≥ 2 when compiled with -prec-div=true, 1 (full range), otherwise
rsqrtf(x)	2 (full range) Applies to 1/sqrtf(x) only when it is converted to rsqrtf(x) by the compiler.
sqrtf(x)	0 for compute capability ≥ 2 when compiled with -prec-sqrt=true, 3 (full range), otherwise
cbrtf(x)	1 (full range)
rcbrtf(x)	1 (full range)
hypotf(x,y)	3 (full range)
rhypotf(x,y)	2 (full range)
norm3df(x,y,z)	3 (full range)
rnorm3df(x,y,z)	2 (full range)
norm4df(x,y,z,t)  3 (full range)
rnorm4df(x,y,z,t) 2 (full range)
normf(dim,arr)	  4 (full range)
rnormf(dim,arr)	  3 (full range)
expf(x)		  2 (full range)
exp2f(x)	  2 (full range)
exp10f(x)	  2 (full range)
expm1f(x)	  1 (full range)
logf(x)		  1 (full range)
log2f(x)	  2 (full range)
log10f(x)	  2 (full range)
log1pf(x)	  2 (full range)
sinf(x)		  2 (full range)
cosf(x)		  2 (full range)
tanf(x)		  4 (full range)
sincosf(x,sptr,cptr)	  2 (full range)
sinpif(x)		  2 (full range)
cospif(x)		  2 (full range)
sincospif(x,sptr,cptr)	  2 (full range)
asinf(x)		  4 (full range)
acosf(x)		  3 (full range)
atanf(x)		  2 (full range)
atan2f(y,x)		  3 (full range)
sinhf(x)		  3 (full range)
coshf(x)		  2 (full range)
tanhf(x)		  2 (full range)
asinhf(x)		  3 (full range)
acoshf(x)		  4 (full range)
atanhf(x)		  3 (full range)
powf(x,y)		  8 (full range)
erff(x)			  2 (full range)
erfcf(x)		  4 (full range)
erfinvf(x)		  2 (full range)
erfcinvf(x)		  2 (full range)
erfcxf(x)		  4 (full range)
normcdff(x)		  5 (full range)
normcdfinvf(x)		  5 (full range)
lgammaf(x)		  6 (outside interval -10.001 ... -2.264; larger inside)
tgammaf(x)		  11 (full range)
fmaf(x,y,z)		  0 (full range)
frexpf(x,exp)		  0 (full range)
ldexpf(x,exp)		  0 (full range)
scalbnf(x,n)		  0 (full range)
scalblnf(x,l)		  0 (full range)
logbf(x)		  0 (full range)
ilogbf(x)		  0 (full range)
j0f(x)	9 for |x| < 8, otherwise, the maximum absolute error is 2.2 x 10-6
j1f(x)	9 for |x| < 8, otherwise, the maximum absolute error is 2.2 x 10-6
jnf(n,x)	   For n = 128, the maximum absolute error is 2.2 x 10-6
y0f(x)	9 for |x| < 8, otherwise, the maximum absolute error is 2.2 x 10-6
y1f(x)	9 for |x| < 8, otherwise, the maximum absolute error is 2.2 x 10-6
ynf(n,x)	ceil(2 + 2.5n) for |x| < n, otherwise, the maximum absolute error is 2.2 x 10-6
cyl_bessel_i0f(x)      6 (full range)
cyl_bessel_i1f(x)      6 (full range)
fmodf(x,y)	       0 (full range)
remainderf(x,y)	       0 (full range)
remquof(x,y,iptr)      0 (full range)
modff(x,iptr)	       0 (full range)
fdimf(x,y)	       0 (full range)
truncf(x)	       0 (full range)
roundf(x)	       0 (full range)
rintf(x)	       0 (full range)
nearbyintf(x)	       0 (full range)
ceilf(x)	       0 (full range)
floorf(x)	       0 (full range)
lrintf(x)	       0 (full range)
lroundf(x)	       0 (full range)
llrintf(x)	       0 (full range)
llroundf(x)	       0 (full range)
